date,event,value,surprise_z,surprise,regime,confidence,y10_1d,y10_5d,y10_21d,curve_1d,curve_5d,y2_1d,y2_5d,sp500_1d
2017-01-01,CPI_MOM,0.404,0.996,BEAT,GOLDILOCKS,MEDIUM,0.0,-7.0,3.0,-2.0,-8.0,2.0,1.0,19.0
2017-02-01,CPI_MOM,0.159,-0.7,MISS,GOLDILOCKS,MEDIUM,0.0,-14.0,1.0,1.0,-7.0,-1.0,-7.0,1.3
2017-03-01,CPI_MOM,-0.047,-1.983,MISS,GOLDILOCKS,MEDIUM,3.0,11.0,-4.0,0.0,4.0,3.0,7.0,-14.04
2017-04-01,CPI_MOM,0.123,-0.656,MISS,GOLDILOCKS,MEDIUM,-5.0,-2.0,-11.0,-2.0,-4.0,-3.0,2.0,-3.88
2017-05-01,CPI_MOM,-0.077,-1.673,MISS,GOLDILOCKS,MEDIUM,-4.0,6.0,-12.0,-3.0,1.0,-1.0,5.0,2.84
2017-06-01,CPI_MOM,0.065,-0.523,MISS,GOLDILOCKS,MEDIUM,-6.0,-2.0,10.0,-6.0,-7.0,0.0,5.0,9.01
2017-07-01,CPI_MOM,0.033,-0.788,MISS,GOLDILOCKS,HIGH,4.0,7.0,-5.0,1.0,5.0,3.0,2.0,5.6
2017-08-01,CPI_MOM,0.385,1.577,BEAT,GOLDILOCKS,MEDIUM,1.0,3.0,-11.0,-1.0,1.0,2.0,2.0,1.22
2017-09-01,CPI_MOM,0.511,2.014,BEAT,GOLDILOCKS,MEDIUM,-9.0,-2.0,17.0,-4.0,1.0,-5.0,-3.0,-18.7
2017-10-01,CPI_MOM,0.078,-0.234,INLINE,GOLDILOCKS,HIGH,1.0,4.0,5.0,-1.0,-3.0,2.0,7.0,9.76
2017-11-01,CPI_MOM,0.267,0.674,BEAT,GOLDILOCKS,HIGH,-2.0,-5.0,0.0,-2.0,-9.0,0.0,4.0,0.49
2017-12-01,CPI_MOM,0.211,0.375,INLINE,GOLDILOCKS,HIGH,0.0,1.0,7.0,-2.0,-1.0,2.0,2.0,-2.78
2018-01-01,CPI_MOM,0.425,1.515,BEAT,GOLDILOCKS,MEDIUM,6.0,9.0,32.0,3.0,2.0,3.0,7.0,22.2
2018-02-01,CPI_MOM,0.269,0.54,BEAT,GOLDILOCKS,MEDIUM,6.0,7.0,10.0,7.0,10.0,-1.0,-3.0,-59.85
2018-03-01,CPI_MOM,0.019,-0.81,MISS,GOLDILOCKS,MEDIUM,5.0,5.0,-8.0,2.0,2.0,3.0,3.0,13.58
2018-04-01,CPI_MOM,0.26,0.137,INLINE,GOLDILOCKS,MEDIUM,-1.0,3.0,21.0,1.0,3.0,-2.0,0.0,-58.99
2018-05-01,CPI_MOM,0.226,-0.109,INLINE,GOLDILOCKS,MEDIUM,0.0,0.0,-14.0,1.0,-1.0,-1.0,1.0,-19.13
2018-06-01,CPI_MOM,0.09,-0.974,MISS,GOLDILOCKS,MEDIUM,5.0,4.0,-2.0,0.0,1.0,5.0,3.0,12.25
2018-07-01,CPI_MOM,0.078,-1.084,MISS,GOLDILOCKS,MEDIUM,2.0,1.0,11.0,-3.0,-4.0,5.0,5.0,8.34
2018-08-01,CPI_MOM,0.179,-0.272,INLINE,GOLDILOCKS,MEDIUM,-2.0,-4.0,-14.0,-1.0,-5.0,-1.0,1.0,13.86
2018-09-01,CPI_MOM,0.206,-0.02,INLINE,GOLDILOCKS,MEDIUM,4.0,8.0,19.0,0.0,-3.0,4.0,11.0,-4.8
2018-10-01,CPI_MOM,0.234,0.147,INLINE,GOLDILOCKS,LOW,-4.0,12.0,6.0,-4.0,6.0,0.0,6.0,-1.16
2018-11-01,CPI_MOM,-0.07,-2.132,MISS,DEFLATION_RISK,LOW,8.0,10.0,-23.0,1.0,-4.0,7.0,14.0,-17.31
2018-12-01,CPI_MOM,0.068,-0.926,MISS,DEFLATION_RISK,LOW,-3.0,-16.0,-45.0,-6.0,-8.0,3.0,-8.0,30.2
2019-01-01,CPI_MOM,-0.081,-1.741,MISS,GOLDILOCKS,MEDIUM,-3.0,4.0,-6.0,-5.0,-6.0,2.0,10.0,3.18
2019-02-01,CPI_MOM,0.3,1.298,BEAT,DEFLATION_RISK,LOW,3.0,-7.0,2.0,2.0,-0.0,1.0,-7.0,18.34
2019-03-01,CPI_MOM,0.378,1.311,BEAT,GOLDILOCKS,MEDIUM,-4.0,-14.0,-27.0,-4.0,-4.0,0.0,-10.0,-10.88
2019-04-01,CPI_MOM,0.376,1.2,BEAT,GOLDILOCKS,MEDIUM,-1.0,3.0,3.0,2.0,0.0,-3.0,3.0,0.05
2019-05-01,CPI_MOM,0.025,-0.701,MISS,GOLDILOCKS,MEDIUM,3.0,-3.0,-38.0,-1.0,-2.0,4.0,-1.0,-6.21
2019-06-01,CPI_MOM,-0.033,-0.978,MISS,GOLDILOCKS,MEDIUM,-7.0,-5.0,-11.0,6.0,5.0,-13.0,-10.0,-7.61
